s,E,thi_share,total
THI,1.1733333333333333,75.0,200.0
TBZ,0.48,75.0,200.0
THI,1.2000480019200768,83.33333333333334,300.0
TBZ,0.0,83.33333333333334,300.0
THI,1.099989000109999,90.9090909090909,550.0
TBZ,0.0,90.9090909090909,550.0
THI,2.04,25.0,200.0
TBZ,0.6533333333333333,25.0,200.0
THI,4.319136172765447,16.666666666666664,300.0
TBZ,0.3360134405376215,16.666666666666664,300.0
THI,1.6501650165016502,9.090909090909092,550.0
TBZ,0.9349906500934991,9.090909090909092,550.0
THI,1.76,50.0,1000.0
TBZ,0.24,50.0,1000.0
THI,2.16021602160216,33.33333333333333,9.0
TBZ,0.18001800180018002,33.33333333333333,9.0
DQ,0.6600660066006601,33.33333333333333,9.0
THI,1.2,50.0,12.0
TBZ,0.4,50.0,12.0
DQ,1.2,50.0,12.0
THI,1.1099445027748611,66.66666666666666,18.0
TBZ,0.4799040191961607,66.66666666666666,18.0
DQ,1.0797840431913617,66.66666666666666,18.0
THI,1.175,80.0,30.0
TBZ,0.1,80.0,30.0
DQ,0.5,80.0,30.0
THI,2.32,25.0,12.0
TBZ,0.84,25.0,12.0
DQ,0.0,25.0,12.0
THI,1.425,40.0,15.0
TBZ,0.25,40.0,15.0
DQ,1.65,40.0,15.0
THI,1.2425621281064052,57.14285714285714,21.0
TBZ,0.1400070003500175,57.14285714285714,21.0
DQ,1.8194541637508748,57.14285714285714,21.0
THI,1.1274577203354874,72.72727272727273,33.0
TBZ,0.11001100110011001,72.72727272727273,33.0
DQ,1.7601760176017602,72.72727272727273,33.0
THI,2.8194361127774443,16.666666666666664,18.0
TBZ,0.7049647517624119,16.666666666666664,18.0
DQ,0.3599280143971205,16.666666666666664,18.0
THI,1.4350717535876794,28.57142857142857,21.0
TBZ,0.6300315015750787,28.57142857142857,21.0
DQ,1.609517144856543,28.57142857142857,21.0
THI,1.4851485148514851,44.44444444444444,27.0
TBZ,0.38253825382538253,44.44444444444444,27.0
DQ,1.5301530153015301,44.44444444444444,27.0
THI,1.2999675008124798,61.53846153846154,39.0
TBZ,0.19499512512187195,61.53846153846154,39.0
DQ,1.8205461638491547,61.53846153846154,39.0
THI,2.1,10.0,30.0
TBZ,0.9,10.0,30.0
DQ,0.7,10.0,30.0
THI,1.6501650165016502,18.181818181818183,33.0
TBZ,0.9212154544204592,18.181818181818183,33.0
DQ,0.33003300330033003,18.181818181818183,33.0
THI,0.7799805004874878,30.76923076923077,39.0
TBZ,1.2349691257718558,30.76923076923077,39.0
DQ,0.0,30.76923076923077,39.0
THI,1.253718657033574,47.05882352941176,51.0
TBZ,0.8712282192945175,47.05882352941176,51.0
DQ,0.0,47.05882352941176,51.0
THI,1.92,25.0,12.0
TBZ,1.12,25.0,12.0
DQ,0.48,25.0,12.0
THI,1.625,40.0,15.0
TBZ,0.55,40.0,15.0
DQ,0.625,40.0,15.0
THI,1.4350717535876794,57.14285714285714,21.0
TBZ,0.06997900629811057,57.14285714285714,21.0
DQ,0.5950297514875744,57.14285714285714,21.0
THI,1.0724597827581466,72.72727272727273,33.0
TBZ,0.33003300330033003,72.72727272727273,33.0
